,Tcond,M_bar,Rjb,eps_bar,Vs30,outputDir,outputFile,code,hazard_level
0,0.75,6.247858,45.136467,-0.3565718,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_1.txt,smrf_3_ii,1
1,0.75,6.601211,28.22232,0.0051185405,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_2.txt,smrf_3_ii,2
2,0.75,6.782385,21.991953,0.22856997,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_3.txt,smrf_3_ii,3
3,0.75,6.890027,18.211988,0.38277256,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_4.txt,smrf_3_ii,4
4,0.75,6.9627876,15.372036,0.5128593,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_5.txt,smrf_3_ii,5
5,0.75,7.009892,13.321918,0.62350655,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_6.txt,smrf_3_ii,6
6,0.75,7.0471525,11.54277,0.740758,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_7.txt,smrf_3_ii,7
7,0.75,7.0727534,10.22772,0.8480374,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_8.txt,smrf_3_ii,8
8,0.75,7.090749,9.257493,0.94404024,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_9.txt,smrf_3_ii,9
9,0.75,7.1066875,8.36997,1.0496627,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_10.txt,smrf_3_ii,10
10,0.75,7.1179605,7.7302175,1.1401514,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_11.txt,smrf_3_ii,11
11,0.75,7.127195,7.2020497,1.2268682,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_12.txt,smrf_3_ii,12
12,0.75,7.136213,6.6862597,1.325154,260.0,extra/structural_analysis/results/site_hazard/smrf_3_ii/,required_records_hz_13.txt,smrf_3_ii,13
