T,Sa
0.01,0.5977270760164126
0.02,0.6035631076692775
0.03,0.6261015536243644
0.05,0.6663658188484042
0.075,0.8201001983669864
0.1,0.9989163914242181
0.15,1.2222541042071478
0.2,1.340009783667017
0.25,1.3897267120340655
0.3,1.3925576529496504
0.4,1.3159110953290165
0.5,1.218947263769493
0.75,0.9326900356178757
1.0,0.743959023135909
1.5,0.5019336432396598
2.0,0.37114608252225956
3.0,0.23958475700486778
4.0,0.16646249035087488
5.0,0.12382943106200112
7.5,0.06582348458548166
10.0,0.039425232805207835
