archetype,hazard_level,Mbar,Dbar,Ebar
smrf_3_ii,hz_1,6.247858,45.136467,-0.3565718
smrf_3_ii,hz_2,6.601211,28.22232,0.0051185405
smrf_3_ii,hz_3,6.782385,21.991953,0.22856997
smrf_3_ii,hz_4,6.890027,18.211988,0.38277256
smrf_3_ii,hz_5,6.9627876,15.372036,0.5128593
smrf_3_ii,hz_6,7.009892,13.321918,0.62350655
smrf_3_ii,hz_7,7.0471525,11.54277,0.740758
smrf_3_ii,hz_8,7.0727534,10.22772,0.8480374
smrf_3_ii,hz_9,7.090749,9.257493,0.94404024
smrf_3_ii,hz_10,7.1066875,8.36997,1.0496627
smrf_3_ii,hz_11,7.1179605,7.7302175,1.1401514
smrf_3_ii,hz_12,7.127195,7.2020497,1.2268682
smrf_3_ii,hz_13,7.136213,6.6862597,1.325154
smrf_3_ii,hz_14,7.1422005,6.3457866,1.3993614
smrf_3_ii,hz_15,7.147895,6.0249395,1.477768
smrf_3_ii,hz_16,7.153868,5.6929297,1.5695709
smrf_3_ii,hz_17,7.158085,5.4621444,1.6412101
smrf_3_ii,hz_18,7.161218,5.292929,1.6986259
smrf_3_ii,hz_19,7.1654243,5.069137,1.7820885
smrf_3_ii,hz_20,7.1691117,4.876243,1.8622073
smrf_3_ii,hz_21,7.1718063,4.737295,1.9255123
smrf_3_ii,hz_22,7.1738334,4.633797,1.976195
smrf_3_ii,hz_23,7.175699,4.5392447,2.0254729
smrf_3_ii,hz_24,7.1785917,4.393816,2.1076055
smrf_3_ii,hz_25,7.180726,4.287048,2.1735487
smrf_3_ii,hz_26,7.1880426,3.9156141,2.453019
smrf_3_ii,hz_27,7.1943254,3.500424,2.9211051
smrf_3_ii,hz_28,7.193978,3.294119,3.276066
smrf_3_ii,hz_29,7.188404,3.1357424,3.6610725
smrf_3_iv,hz_1,6.186371,41.159878,-0.3833517
smrf_3_iv,hz_2,6.513656,25.850988,0.04889513
smrf_3_iv,hz_3,6.6827655,20.493635,0.30477813
smrf_3_iv,hz_4,6.79181,17.082706,0.48776266
smrf_3_iv,hz_5,6.864257,14.675897,0.631182
smrf_3_iv,hz_6,6.9148703,12.891258,0.75393635
smrf_3_iv,hz_7,6.952431,11.504309,0.866255
smrf_3_iv,hz_8,6.984629,10.272626,0.98528177
smrf_3_iv,hz_9,7.005325,9.461424,1.0777917
smrf_3_iv,hz_10,7.0267487,8.60744,1.191865
