RSN,group
6,0
12,0
15,0
25,0
68,0
77,0
88,0
126,0
143,0
171,0
173,0
174,0
175,0
178,0
181,0
182,0
183,0
184,0
253,0
281,0
316,0
322,0
329,0
341,0
391,0
461,0
522,0
527,0
549,0
550,0
569,0
570,0
571,0
572,0
576,0
578,0
580,0
612,0
621,0
723,0
725,0
732,0
735,0
736,0
739,0
744,0
748,0
755,0
757,0
759,0
761,0
763,0
767,0
771,0
772,0
776,0
777,0
778,0
779,0
781,0
783,0
787,0
794,0
799,0
801,0
802,0
803,0
821,0
825,0
828,0
848,0
864,0
879,0
881,0
888,0
937,0
964,0
970,0
975,0
982,0
983,0
1015,0
1044,0
1045,0
1048,0
1054,0
1063,0
1084,0
1085,0
1086,0
1087,0
1094,0
1101,0
1104,0
1106,0
1111,0
1113,0
1114,0
1117,0
1119,0
1120,1
1147,1
1155,1
1157,1
1158,1
1162,1
1165,1
1176,1
1182,1
1184,1
1186,1
1188,1
1193,1
1194,1
1197,1
1198,1
1201,1
1202,1
1203,1
1208,1
1213,1
1220,1
1226,1
1227,1
1231,1
1232,1
1234,1
1236,1
1243,1
1244,1
1246,1
1256,1
1258,1
1259,1
1261,1
1274,1
1275,1
1281,1
1282,1
1291,1
1292,1
1294,1
1312,1
1315,1
1316,1
1317,1
1318,1
1319,1
1323,1
1350,1
1415,1
1421,1
1425,1
1434,1
1451,1
1480,1
1482,1
1487,1
1492,1
1503,1
1504,1
1506,1
1508,1
1509,1
1511,1
1512,1
1513,1
1517,1
1520,1
1529,1
1534,1
1535,1
1536,1
1541,1
1542,1
1545,1
1549,1
1602,1
1605,1
1615,1
1618,1
1633,1
1762,1
1787,1
1794,1
1807,1
1810,1
2114,1
2461,1
2466,1
2469,1
2473,1
2483,1
2495,1
2498,1
2500,1
2509,1
2540,1
2618,1
2623,1
2627,2
2629,2
2632,2
2655,2
2656,2
2661,2
2705,2
2709,2
2739,2
2867,2
2893,2
2947,2
3029,2
3178,2
3221,2
3264,2
3268,2
3271,2
3275,2
3312,2
3317,2
3340,2
3358,2
3362,2
3466,2
3473,2
3504,2
3533,2
3548,2
3664,2
3665,2
3670,2
3672,2
3673,2
3674,2
3679,2
3682,2
3706,2
3744,2
3746,2
3747,2
3748,2
3749,2
3751,2
3754,2
3756,2
3758,2
3845,2
3856,2
3865,2
3910,2
3943,2
3959,2
3964,2
3965,2
3966,2
3968,2
3969,2
3979,2
4040,2
4097,2
4115,2
4203,2
4204,2
4206,2
4207,2
4209,2
4210,2
4219,2
4228,2
4320,2
4451,2
4458,2
4840,2
4842,2
4843,2
4845,2
4847,2
4849,2
4853,2
4854,2
4855,2
4856,2
4859,2
4860,2
4861,2
4862,2
4863,2
4866,2
4868,2
4874,2
4878,2
4886,2
4891,2
4894,2
4895,2
4896,2
4991,2
5194,2
5260,2
5264,3
5270,3
5271,3
5272,3
5284,3
5291,3
5478,3
5482,3
5536,3
5598,3
5629,3
5656,3
5657,3
5658,3
5663,3
5664,3
5665,3
5672,3
5681,3
5775,3
5778,3
5786,3
5794,3
5798,3
5806,3
5814,3
5816,3
5817,3
5818,3
5822,3
5825,3
5837,3
5969,3
5972,3
5986,3
5991,3
6207,3
6239,3
6242,3
6244,3
6590,3
6848,3
6888,3
6889,3
6890,3
6906,3
6911,3
6912,3
6923,3
6927,3
6952,3
6959,3
6971,3
6980,3
8063,3
8064,3
8066,3
8075,3
8089,3
8090,3
8099,3
8118,3
8119,3
8123,3
8124,3
8130,3
8134,3
8158,3
8937,3
