archetype,hazard_level,quantity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
smrf_3_ii,hz_1,RSN,30.0,314.0,329.0,391.0,550.0,747.0,970.0,975.0,1256.0,2096.0,2540.0,2561.0,2796.0,2867.0,2947.0,2971.0,2976.0,3014.0,3029.0,3204.0,3213.0,3225.0,3267.0,3532.0,3706.0,3856.0,4031.0,4159.0,4184.0,4320.0,5251.0,5478.0,5536.0,5543.0,6244.0,6589.0,6668.0,6870.0,8099.0,8890.0
smrf_3_ii,hz_1,SF,0.36,0.73,0.58,0.83,1.62,1.3,0.57,1.13,0.66,4.5,1.93,4.59,3.72,2.56,1.02,1.49,1.83,2.37,2.2,2.51,0.97,2.67,0.63,2.77,2.16,0.65,0.21,0.49,0.89,2.09,1.49,0.23,1.36,1.63,1.33,3.03,2.55,1.62,0.21,1.28
smrf_3_ii,hz_2,RSN,77.0,142.0,188.0,297.0,391.0,551.0,572.0,746.0,767.0,802.0,891.0,1315.0,1606.0,1768.0,1785.0,2452.0,2469.0,2475.0,2478.0,2540.0,2619.0,2935.0,2949.0,3180.0,3269.0,3283.0,3449.0,3706.0,4228.0,4840.0,4880.0,5194.0,5238.0,5746.0,5754.0,5986.0,6206.0,8071.0,8099.0,8937.0
smrf_3_ii,hz_2,SF,0.27,3.71,3.99,1.65,1.84,3.43,0.84,1.98,0.41,0.42,4.82,2.0,4.46,2.05,1.57,1.87,1.37,2.0,3.94,4.3,1.43,4.44,3.84,4.29,1.38,3.62,1.96,4.81,0.37,0.84,0.9,0.78,2.96,3.1,3.51,0.84,2.77,3.59,0.46,2.77
smrf_3_ii,hz_3,RSN,12.0,209.0,302.0,749.0,964.0,975.0,1155.0,1158.0,1162.0,1243.0,1258.0,1316.0,1512.0,1513.0,1549.0,1572.0,1787.0,2109.0,2463.0,2507.0,2863.0,2952.0,3214.0,3303.0,3473.0,3495.0,3565.0,3959.0,3969.0,4207.0,4854.0,5257.0,5669.0,5798.0,5813.0,6207.0,6890.0,6913.0,8075.0,8937.0
smrf_3_ii,hz_3,SF,2.83,1.98,2.05,2.81,2.35,3.82,1.12,0.55,2.42,1.65,1.27,1.78,0.52,0.31,0.39,4.65,0.95,4.77,4.05,1.45,4.74,4.46,4.05,4.64,0.72,2.71,2.4,2.47,2.04,0.96,1.25,3.8,2.19,1.15,1.1,2.69,0.64,1.71,4.05,4.18
smrf_3_ii,hz_4,RSN,12.0,140.0,172.0,748.0,754.0,772.0,970.0,1094.0,1184.0,1224.0,1261.0,1270.0,1316.0,1319.0,1375.0,1507.0,1512.0,1520.0,1549.0,2114.0,2509.0,2705.0,2712.0,3268.0,3275.0,3463.0,3473.0,4040.0,4234.0,4843.0,4855.0,4858.0,4997.0,5492.0,5798.0,5806.0,5866.0,6857.0,6952.0,6963.0
smrf_3_ii,hz_4,SF,3.75,3.39,3.41,1.9,1.87,1.11,2.53,3.45,1.32,4.25,2.55,3.59,2.36,3.22,4.9,0.5,0.69,1.16,0.51,0.53,2.71,3.39,1.95,1.77,1.51,2.82,0.95,0.52,4.98,1.5,1.31,1.63,4.06,4.94,1.53,1.39,2.93,4.71,0.59,4.16
smrf_3_ii,hz_5,RSN,12.0,88.0,176.0,316.0,322.0,549.0,772.0,802.0,804.0,838.0,964.0,1215.0,1226.0,1258.0,1293.0,1323.0,1332.0,1415.0,1549.0,1587.0,1766.0,1794.0,1817.0,2114.0,2509.0,2705.0,2739.0,3260.0,3262.0,3268.0,3275.0,3316.0,3746.0,3943.0,3979.0,4169.0,4872.0,6242.0,6891.0,6923.0
smrf_3_ii,hz_5,SF,4.71,4.93,3.86,1.28,1.1,1.59,1.39,1.06,3.62,1.92,3.91,4.03,1.95,2.11,3.21,2.67,3.13,2.44,0.64,4.58,2.52,1.64,2.89,0.67,3.41,4.26,1.8,4.11,4.63,2.23,1.9,4.14,1.15,2.71,2.72,3.48,2.59,3.36,2.15,0.67
